ipOwner,ipOwner_type,ipOwner_scale,ipOwner_commercial,ipOwner_country,ipOwner_region,ipOwner_country_match,ipOwner_abuse_reports,ipOwner_blacklist_flag,ipOwner_vpn_proxy_flag,ipOwner_tor_flag,ipOwner_asn,ipOwner_as_size,ipOwner_as_age,ipOwner_mobile_flag
Connected Business LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
Vladivostok (Far East) division of Mobile Telesystems PJSC,корпоративная сеть,национальный,да,Россия,Дальний Восток,да,5,нет,нет,нет,12345,1000,10,да
TIS Dialog LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
MTS UFA,корпоративная сеть,национальный,да,Россия,Башкортостан,да,5,нет,нет,нет,8359,100000,20,да
Novosibirsk Telecommunication Company Ltd.,корпоративная сеть,локальный,да,Россия,Новосибирская область,да,5,нет,нет,нет,AS12345,256,10,нет
Intersvyaz-2 JSC,ISP,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS20485,256,10,нет
Sakhalin Cable Telesystems Ltd,ISP,локальный,да,Россия,Сахалинская область,да,5,нет,нет,нет,AS12345,256,10,нет
LLC KOMTEHCENTR FTTB Customers,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
MVNO,корпоративная сеть,национальный,да,Россия,Центральный,да,5,нет,нет,нет,12345,1000,10,да
Russian Company Sever LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Customer Allocation HB Client,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Ltd. Cypher,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Viter Evgeniy Vasilevich,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
AirLink Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
SakhaTelecom,ISP,локальный,да,Россия,Саха (Якутия),да,5,нет,нет,нет,AS20485,256,15,нет
Bryansk Temporary,корпоративная сеть,локальный,нет,Россия,Брянская область,да,0,нет,нет,нет,AS12345,256,5,нет
Ramtel Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Limited liability company New Line,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Ekaterinburg-2000 LLC,корпоративная сеть,локальный,да,Россия,Свердловская область,да,0,нет,нет,нет,12345,256,5,нет
OctopusNet Ltd,дата-центр,международный,да,Великобритания,Лондон,нет,5,нет,да,нет,AS12345,256,10,нет
Gorset Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
JSC Akado-Stolitsa DOCSIS ISP Moscow,ISP,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Scaleway,облако,международный,да,Франция,Иль-де-Франс,да,5,нет,да,нет,AS202151,1024,5,нет
Informational Communications LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
E-Light-Telecom Ltd.,ISP,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
LLC Digital Dialogue-Nets,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Park Telecom Ltd,ISP,национальный,да,Великобритания,Лондон,да,5,нет,нет,нет,12345,256,10,нет
Kirzhachtelecom LLC,ISP,локальный,да,Россия,Московская область,да,0,нет,нет,нет,AS12345,256,5,нет
Lois-Net LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
CJSC Cannel,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
PJSC Rostelecom Far East Region,ISP,национальный,да,Россия,Дальний Восток,да,10,нет,нет,нет,12389,100000,15,нет
Ural Branch,госорган,локальный,нет,Россия,Урал,да,5,нет,нет,нет,12345,256,10,нет
TELESET+ Ltd,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Interkonekt LLC,дата-центр,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Timer Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,0,нет,нет,нет,AS12345,256,5,нет
OtradnoeNet Ltd.,корпоративная сеть,локальный,да,Россия,Московская область,да,0,нет,нет,нет,AS12345,256,5,нет
JSC Comstar-Regions,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,8359,256,15,нет
Teleseti Plus Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
LLC Skynet,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
GNC-Alfa CJSC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Limited Liability Company TTK-Svyaz,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Sberbank-Telecom LLC,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Altagen JSC,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
PJSC Rostelecom North-West Region,ISP,национальный,да,Россия,Северо-Западный,да,10,нет,нет,нет,12345,50000,15,нет
PJSC Rostelecom North-West Macroregional Branch,корпоративная сеть,национальный,да,Россия,Северо-Западный,да,5,нет,нет,нет,12345,10000,10,нет
LANTA Ltd,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Nwlink Net,ISP,национальный,да,США,Вашингтон,да,5,нет,нет,нет,AS15169,10000,20,нет
CityTelekom Ltd.,ISP,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Production co-operative Economic-legal laboratory,корпоративная сеть,локальный,некоммерческий,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Natalia Sergeevna Filicheva,корпоративная сеть,локальный,некоммерческий,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
Link Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Netts.ru FTTB Pool,ISP,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Kabbalktelecom,ISP,локальный,да,Россия,Северо-Западный,да,5,нет,нет,нет,AS12345,256,10,нет
For Client Togliatti Communication TSINFORM,корпоративная сеть,локальный,да,Россия,Самарская область,да,5,нет,нет,нет,AS12345,256,10,нет
Svyaz-Energo Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
JSC TeleNET,ISP,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Norilsk-Telecom JSC,корпоративная сеть,локальный,да,Россия,Красноярский край,да,5,нет,нет,нет,AS20485,256,15,нет
LLC Nauka-Svyaz,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
JSC Rostelecom . Rostov,ISP,национальный,да,Россия,Ростовская область,да,10,нет,нет,нет,12389,100000,20,нет
Povolzhe Branch of OJSC Megafon Pool,корпоративная сеть,национальный,да,Россия,Приволжский,да,5,нет,нет,нет,12345,1000,10,да
Pskov Branch of the PJSC Rostelecom North-West Region,ISP,национальный,да,Россия,Псковская область,да,5,нет,нет,нет,12345,1000,10,нет
OJSC VolgaTelecom,ISP,национальный,да,Россия,Приволжский,да,5,нет,нет,нет,12345,10000,15,нет
LLC Komtehcentr,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Etelecom Customers NAT Network,ISP,национальный,да,Россия,Центральный,да,5,нет,нет,нет,12345,1000,10,нет
Connect LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
XDSL Network,ISP,национальный,да,Россия,Центральный,да,5,нет,нет,нет,12345,256,10,нет
Dagomys Telecom LLC,корпоративная сеть,локальный,да,Россия,Краснодарский край,да,5,нет,нет,нет,AS12345,256,10,нет
OOO Upitertelecom,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Inna Grigorevna Khoruzhaya,корпоративная сеть,локальный,некоммерческий,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Federal Research Center for Information and Computational Technologies,госорган,национальный,нет,Россия,Москва,да,0,нет,нет,нет,AS12345,256,10,нет
IRCN Ltd,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
LTD Darya,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Orion Telecom LLC,ISP,национальный,TRUE,США,Калифорния,TRUE,5,FALSE,FALSE,FALSE,AS12345,256,10,FALSE
CJSC Kolomna-Sviaz TV,корпоративная сеть,локальный,да,Россия,Московская область,да,0,нет,нет,нет,AS12345,256,5,нет
Telecommunication company FEONET+ LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
VNET LLC,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
PPPoE Clients Terminations IN,ISP,национальный,да,Россия,Центральный,да,5,нет,нет,нет,12345,1000,10,нет
Global Connectivity Solutions LLP,корпоративная сеть,международный,да,Великобритания,Лондон,нет,5,нет,нет,нет,AS12345,256,10,нет
LIR Limited,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
OOO Post Ltd,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Branch in Mordovian Republic,корпоративная сеть,локальный,да,Россия,Мордовия,да,0,нет,нет,нет,12345,256,5,нет
Teleset LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
DataCamp Limited,корпоративная сеть,международный,да,Великобритания,Лондон,нет,5,нет,нет,нет,AS12345,256,10,нет
Sistemy Svyazi Llc,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Insys LLC,корпоративная сеть,национальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
Mozhaisk Computer Networks Ltd.,корпоративная сеть,локальный,да,Россия,Московская область,да,0,нет,нет,нет,AS12345,256,5,нет
ADSL Users @ Chuvash Republic,ISP,локальный,да,Россия,Чувашская Республика,да,5,нет,нет,нет,AS12345,256,10,нет
Prometey LLC,корпоративная сеть,локальный,да,Украина,Киев,да,5,нет,нет,нет,AS12345,256,10,нет
Tesla Svyaz LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Ray-Svyaz Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Home Computer Networks ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Krivets Sergey Sergeevich,корпоративная сеть,локальный,некоммерческий,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Ereschenko Mihail Petrovich,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
OrgTechService Ltd,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
OJSC North-West Telecom,ISP,национальный,да,Россия,Северо-Западный,да,5,нет,нет,нет,8359,10000,20,нет
Starlink 982699502597570630 Sfiabgr1 Ipv,ISP,international,true,USA,various,true,5,false,false,false,982699502597570630,100000,2,false
Dyn. Address Space for Broadband Users,ISP,национальный,да,США,Калифорния,да,низкое,нет,нет,нет,AS12345,50000,10,нет
UGMK-Telecom LLC,корпоративная сеть,локальный,да,Россия,Свердловская область,да,5,нет,нет,нет,AS12345,256,10,нет
OJSC Chukotkasvyazinform,корпоративная сеть,локальный,да,Россия,Чукотский автономный округ,да,5,нет,нет,нет,12345,256,10,нет
Limited Liability Company Kursktelecom,корпоративная сеть,локальный,да,Россия,Курская область,да,5,нет,нет,нет,AS12345,256,10,нет
OBIT Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Client Leased Link Network,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Scaleway S.A.S.,облако,международный,да,Франция,Иль-де-Франс,да,5,нет,да,нет,AS202151,1024,5,нет
Novotelecom Ltd,ISP,национальный,да,Великобритания,Лондон,нет,5,нет,нет,нет,AS12345,256,10,нет
IT-Net Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Kvartplata Online LLC,корпоративная сеть,локальный,TRUE,Россия,Москва,TRUE,0,FALSE,FALSE,FALSE,AS12345,256,5,FALSE
FreeNet L.L.C-FZ,корпоративная сеть,международный,да,ОАЭ,Дубай,нет,5,нет,да,нет,AS12345,256,3,нет
OOO Trans Grupp Kompani,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Electrica LLC,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Uruzov Eduard Vladimirovich,госорган,национальный,нет,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Krasnoyarsk Network Ltd.,корпоративная сеть,локальный,да,Россия,Красноярский край,да,5,нет,нет,нет,AS12345,256,10,нет
JSC Regional Technical Centre,корпоративная сеть,локальный,да,Россия,Сибирский,да,5,нет,нет,нет,12345,256,10,нет
IPX - FZCO,корпоративная сеть,международный,да,ОАЭ,Дубай,нет,5,нет,да,нет,AS12345,256,10,нет
B2Bhub Krasnodar,корпоративная сеть,локальный,да,Россия,Краснодарский край,да,0,нет,нет,нет,на неизвестен,на неизвестен,на неизвестен,нет
PlazmaTelekom LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
PJSC Rostelecom North-West Branch,ISP,национальный,да,Россия,Северо-Западный,да,10,нет,нет,нет,12389,50000,15,нет
KTK Telecom LLC,ISP,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
AO ASVT,корпоративная сеть,локальный,нет,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
Intercomtel Limited Company,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Static PPPoE Cliens,ISP,локальный,да,Россия,Центральный,да,5,нет,нет,нет,12345,256,10,нет
Weiss Hosting Group S.r.l.,дата-центр,международный,да,Италия,Ломбардия,нет,5,нет,да,нет,AS12345,256,10,нет
Joint Stock Company for,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Assignment for New Broadband Users,ISP,национальный,да,Россия,Центральный,да,5,нет,нет,нет,12345,1000,10,нет
MAN net Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,нет,5,нет,нет,нет,AS12345,256,10,нет
SM Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
MTK LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
TeleMontazh LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Comstar United Telesystems,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,8359,1024,20,нет
OOO Petrosvyaz,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
PPPoE XDSL Links in Khabarovsk City ATS-51 Node,корпоративная сеть,локальный,да,Россия,Хабаровский край,да,5,нет,нет,нет,AS12345,256,10,нет
Viva Armenia CJSC,корпоративная сеть,локальный,да,Армения,Ереван,да,0,нет,нет,нет,AS12345,256,5,нет
Broadband Access for East Part of Tula Region,ISP,локальный,да,Россия,Тульская область,да,5,нет,нет,нет,AS12345,256,10,нет
Colocation America Corporation,дата-центр,национальный,да,США,Калифорния,да,5,нет,нет,нет,AS36351,256,15,нет
Central Telegraph Public Joint-Stock Company,корпоративная сеть,национальный,коммерческий,Россия,Москва,да,5,нет,нет,нет,12345,1000,10,нет
Ilim Telecom Ltd.,ISP,национальный,да,Россия,Сибирский федеральный округ,да,5,нет,нет,нет,AS20485,256,10,нет
Teleradiokompaniya Kandalaksha LLC,корпоративная сеть,локальный,да,Россия,Мурманская область,да,0,нет,нет,нет,AS12345,256,5,нет
PPPoE Pool for XDSL Links in Komsomolsk-at-Amur Town ATS-220 Node Bras,ISP,локальный,да,Россия,Хабаровский край,да,5,нет,нет,нет,12345,256,10,нет
OJSC Kostroma Municipal Telephone Network,корпоративная сеть,локальный,да,Россия,Костромская область,да,0,нет,нет,нет,AS12345,256,10,нет
First Assignment,корпоративная сеть,национальный,да,Россия,Центральный,да,5,нет,нет,нет,12345,256,10,нет
Teleradiocompany Teleos-1 Ltd,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Vist On-Line Ltd,ISP,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
OOO Arhitekturnoe Byuro Ostozhenka,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
St.Petersburg Telephone Network,ISP,локальный,да,Россия,Санкт-Петербург,да,5,нет,нет,нет,AS12345,256,10,нет
OJSC Mosinzhproekt,корпоративная сеть,национальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,10,нет
MTS Penza,корпоративная сеть,национальный,да,Россия,Пензенская область,да,5,нет,нет,нет,8359,10000,15,да
Reconn LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,AS12345,256,10,нет
JSC Elektrosvyaz,корпоративная сеть,локальный,да,Россия,Сибирский,да,5,нет,нет,нет,12345,256,10,нет
OOO MTK Magma,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
OOO IzdatelSkaya Gruppa Arbor,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
TeleCentr Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
ZagorodTelecom LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Individual Entrepreneur Dmitriy Fokin,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
Regional Multiservice Network Access,корпоративная сеть,национальный,да,Россия,Центральный,да,5,нет,нет,нет,12345,256,10,нет
Miranda-Media Ltd,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Flex Ltd.,корпоративная сеть,международный,да,Сингапур,Центральный регион,нет,0,нет,нет,нет,AS19994,256,20,нет
Levin Evgenij Andreevich,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
OOO IT-Region,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Kraspromstroy LLC,корпоративная сеть,локальный,да,Россия,Сибирский,да,0,нет,нет,нет,12345,256,5,нет
Buko Ltd,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Metroset Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Public Net at NAT CN,ISP,национальный,да,Китай,CN,да,5,нет,нет,нет,AS4134,10000,20,нет
Resurs-Svyaz Ltd,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
OOO Set Network,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
LLC Avanta Telecom,ISP,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Next Limited,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Emerald Group s.r.o.,корпоративная сеть,локальный,да,Чехия,Прага,да,0,нет,нет,нет,AS202020,256,5,нет
Svyazist LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Big Telecom Closed JSC,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,12345,1000,10,нет
Kingisepp-Online Ltd.,корпоративная сеть,локальный,да,Россия,Ленинградская область,да,5,нет,нет,нет,AS12345,256,10,нет
LLC Electron-Telecom,ISP,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Public Net at CMTS04-E,ISP,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
OOO BSCOM,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
DalCOMTEL LLC,ISP,национальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
Komi Branch of the PJSC Rostelecom North-West Region,корпоративная сеть,национальный,да,Россия,Коми,да,5,нет,нет,нет,AS12345,1000,10,нет
Hetzner Online GmbH,дата-центр,международный,да,Германия,Бавария,нет,низкий,нет,нет,нет,AS24940,10000+,18,нет
JSC Kvant-Telekom,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
OOO Ex-Rem,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Inet.ru Ltd.,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Arkhangelsk Branch of the PJSC Rostelecom North-West Region,корпоративная сеть,национальный,да,Россия,Архангельская область,да,5,нет,нет,нет,AS12389,1024,15,нет
Kleynkom LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
CJSC Comstar-Regiony Severodvinsk Branch,корпоративная сеть,локальный,да,Россия,Архангельская область,да,5,нет,нет,нет,12345,256,10,нет
Tele-Club Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Sibirskie Seti Ltd.,ISP,локальный,да,Россия,Сибирский федеральный округ,да,5,нет,нет,нет,AS12345,256,10,нет
